country,code,continent,population,population_density,median_age,gdp_per_capita
Guernsey,GGY,Europe,63698.0,,43.880001068115234,
Guinea,GIN,Africa,14055075.0,57.19955825805664,17.836000442504883,2699.12890625
Guinea-Bissau,GNB,Africa,2105479.0,74.87478637695312,18.732999801635746,1855.1119384765625
Guyana,GUY,South America,821588.0,4.173675537109375,25.304000854492188,35634.6875
Haiti,HTI,North America,11503553.0,417.40032958984375,23.25,2799.112548828125
Honduras,HND,North America,10463826.0,93.51886749267578,23.20599937438965,5709.1240234375
Hong Kong,HKG,Asia,7465860.0,7110.3427734375,45.59099960327149,58478.8828125
Hungary,HUN,Europe,9684259.0,106.1172332763672,42.99300003051758,35356.77734375
Iceland,ISL,Europe,380322.0,3.7719130516052246,35.74700164794922,55567.4375
India,IND,Asia,1425423157.0,479.4255065917969,27.68400001525879,7112.03955078125
Indonesia,IDN,Asia,278830479.0,147.33013916015625,29.56100082397461,12409.7587890625
Iran,IRN,Asia,89524192.0,55.17669677734375,32.340999603271484,15461.0791015625
Iraq,IRQ,Asia,44070510.0,101.5150146484375,20.093000411987305,9199.0205078125
Ireland,IRL,Europe,5109966.0,74.17572784423828,37.99700164794922,112445.421875
Isle of Man,IMN,Europe,84093.0,147.53158569335938,45.47600173950195,
Israel,ISR,Asia,9103094.0,420.6605224609375,29.086000442504883,44393.30078125
Italy,ITA,Europe,59619058.0,201.6084899902344,47.11600112915039,44292.19140625
Jamaica,JAM,North America,2839098.0,262.1512451171875,31.152999877929688,10107.865234375
Japan,JPN,Asia,124997534.0,342.92877197265625,48.54800033569336,41837.91015625
Jersey,JEY,Europe,103444.0,,42.867000579833984,
Jordan,JOR,Asia,11256215.0,126.76774597167967,23.94300079345703,9490.6669921875
Kazakhstan,KAZ,Asia,20034569.0,7.421035766601563,29.347999572753903,26093.294921875
Kenya,KEN,Africa,54252404.0,95.32347869873048,19.27199935913086,4881.53173828125
Kiribati,KIR,Oceania,130435.0,161.03086853027344,22.52899932861328,2002.71826171875
Kosovo,OWID_KOS,Europe,1717900.0,,30.808000564575195,12675.068359375
Kuwait,KWT,Asia,4589467.0,257.54583740234375,33.4630012512207,49400.35546875
Kyrgyzstan,KGZ,Asia,6955746.0,36.265621185302734,24.975000381469727,5070.150390625
Laos,LAO,Asia,7558961.0,32.751129150390625,23.972000122070312,7947.65869140625
